lat_min,lat_max,lon_min,lon_max,lat_c,lon_c,point_count,distinct_vessels,avg_sog,wait_pct,dominant_type
34.5,35.0,-75.5,-75.0,34.75,-75.25,30,3,13.05,0.0,cargo
16.5,17.0,-67.5,-67.0,16.75,-67.25,29,2,13.44,0.0,cargo
46.5,47.0,-92.0,-91.5,46.75,-91.75,29,3,0.22,100.0,cargo
38.0,38.5,-76.5,-76.0,38.25,-76.25,29,6,6.49,62.1,cargo
37.5,38.0,-121.5,-121.0,37.75,-121.25,29,6,0.03,100.0,sailing
40.5,41.0,-124.5,-124.0,40.75,-124.25,29,8,0.35,93.1,fishing
36.5,37.0,-75.5,-75.0,36.75,-75.25,28,2,0.26,100.0,cargo
26.0,26.5,-97.5,-97.0,26.25,-97.25,28,7,0.45,92.9,other
37.5,38.0,-75.5,-75.0,37.75,-75.25,28,4,7.61,25.0,other
43.5,44.0,-82.5,-82.0,43.75,-82.25,28,2,11.55,0.0,cargo
43.0,43.5,-80.0,-79.5,43.25,-79.75,28,5,4.81,64.3,cargo
25.5,26.0,-79.5,-79.0,25.75,-79.25,28,3,13.64,0.0,tanker
31.5,32.0,-81.0,-80.5,31.75,-80.75,28,5,1.95,64.3,cargo
49.0,49.5,-126.0,-125.5,49.25,-125.75,27,3,0.01,100.0,cargo
45.5,46.0,-84.0,-83.5,45.75,-83.75,27,3,7.73,33.3,cargo
46.5,47.0,-124.5,-124.0,46.75,-124.25,27,5,5.69,40.7,cargo
41.0,41.5,-126.0,-125.5,41.25,-125.75,27,2,12.8,0.0,other
36.5,37.0,-123.0,-122.5,36.75,-122.75,27,4,5.64,11.1,other
31.0,31.5,-88.5,-88.0,31.25,-88.25,26,2,3.43,53.8,tug/tow
45.5,46.0,-84.5,-84.0,45.75,-84.25,26,3,4.31,57.7,fishing
18.0,18.5,-68.5,-68.0,18.25,-68.25,26,2,16.72,0.0,cargo
39.5,40.0,-73.5,-73.0,39.75,-73.25,26,3,6.08,0.0,cargo
43.5,44.0,-70.0,-69.5,43.75,-69.75,26,2,0.0,100.0,passenger
18.5,19.0,-66.0,-65.5,18.75,-65.75,26,2,6.71,11.5,tanker
28.0,28.5,-93.0,-92.5,28.25,-92.75,26,4,10.97,0.0,tanker
37.0,37.5,-123.5,-123.0,37.25,-123.25,25,2,5.97,52.0,tanker
28.5,29.0,-83.5,-83.0,28.75,-83.25,25,3,6.7,0.0,tug/tow
32.5,33.0,-118.0,-117.5,32.75,-117.75,25,2,6.71,36.0,tanker
30.5,31.0,-87.5,-87.0,30.75,-87.25,25,4,0.0,100.0,tug/tow
47.0,47.5,-90.5,-90.0,47.25,-90.25,25,2,12.64,0.0,cargo
28.5,29.0,-94.0,-93.5,28.75,-93.75,25,3,12.71,12.0,tanker
38.5,39.0,-83.0,-82.5,38.75,-82.75,25,2,3.72,24.0,tug/tow
24.0,24.5,-82.0,-81.5,24.25,-81.75,25,2,12.92,0.0,cargo
43.0,43.5,-86.5,-86.0,43.25,-86.25,25,6,0.01,100.0,other
24.5,25.0,-80.0,-79.5,24.75,-79.75,25,2,15.54,0.0,cargo
41.5,42.0,-87.5,-87.0,41.75,-87.25,25,5,0.0,100.0,tug/tow
49.5,50.0,-124.5,-124.0,49.75,-124.25,25,5,1.68,48.0,other
27.0,27.5,-80.5,-80.0,27.25,-80.25,25,9,0.02,100.0,sailing
39.0,39.5,-125.0,-124.5,39.25,-124.75,24,2,14.88,0.0,cargo
36.0,36.5,-75.5,-75.0,36.25,-75.25,24,2,12.88,0.0,other
43.0,43.5,-79.0,-78.5,43.25,-78.75,24,2,11.85,0.0,cargo
28.0,28.5,-90.5,-90.0,28.25,-90.25,24,5,10.29,8.3,cargo
40.5,41.0,-71.0,-70.5,40.75,-70.75,23,2,7.27,0.0,tug/tow
46.5,47.0,-85.0,-84.5,46.75,-84.75,23,2,12.9,0.0,cargo
36.5,37.0,-75.0,-74.5,36.75,-74.75,23,2,14.96,0.0,cargo
45.0,45.5,-124.5,-124.0,45.25,-124.25,23,3,3.21,0.0,fishing
34.5,35.0,-122.0,-121.5,34.75,-121.75,23,2,8.2,0.0,tanker
29.0,29.5,-81.0,-80.5,29.25,-80.75,23,7,0.2,95.7,sailing
41.0,41.5,-69.5,-69.0,41.25,-69.25,22,2,8.67,0.0,tanker
35.5,36.0,-75.0,-74.5,35.75,-74.75,22,2,10.45,0.0,cargo
33.5,34.0,-77.0,-76.5,33.75,-76.75,22,2,12.68,0.0,cargo
30.0,30.5,-93.0,-92.5,30.25,-92.75,22,2,0.0,100.0,tug/tow
41.5,42.0,-74.0,-73.5,41.75,-73.75,22,2,1.73,50.0,other
47.0,47.5,-92.0,-91.5,47.25,-91.75,22,3,0.0,100.0,cargo
39.5,40.0,-76.5,-76.0,39.75,-76.25,22,3,0.19,95.5,other
18.0,18.5,-70.0,-69.5,18.25,-69.75,22,5,9.36,31.8,tanker
44.0,44.5,-76.5,-76.0,44.25,-76.25,22,3,4.46,54.5,passenger
41.5,42.0,-124.5,-124.0,41.75,-124.25,22,6,0.0,100.0,fishing
41.0,41.5,-72.0,-71.5,41.25,-71.75,21,4,0.0,100.0,fishing
28.0,28.5,-90.0,-89.5,28.25,-89.75,21,2,9.75,0.0,tanker
46.5,47.0,-84.5,-84.0,46.75,-84.25,21,2,1.97,61.9,tug/tow
27.5,28.0,-89.0,-88.5,27.75,-88.75,21,4,11.96,0.0,cargo
18.0,18.5,-64.5,-64.0,18.25,-64.25,21,4,14.36,9.5,passenger
28.5,29.0,-81.5,-81.0,28.75,-81.25,21,3,2.23,42.9,passenger
35.0,35.5,-122.5,-122.0,35.25,-122.25,21,2,9.84,0.0,cargo
35.5,36.0,-75.5,-75.0,35.75,-75.25,21,2,7.45,0.0,cargo
35.0,35.5,-90.0,-89.5,35.25,-89.75,21,3,5.12,0.0,tug/tow
18.0,18.5,-67.5,-67.0,18.25,-67.25,21,6,0.01,100.0,sailing
31.0,31.5,-91.5,-91.0,31.25,-91.25,20,2,3.62,0.0,tug/tow
48.0,48.5,-125.5,-125.0,48.25,-125.25,20,2,9.55,0.0,tug/tow
31.0,31.5,-81.0,-80.5,31.25,-80.75,20,3,4.63,20.0,sailing
36.5,37.0,-123.5,-123.0,36.75,-123.25,20,2,15.11,0.0,cargo
